job_id,@model,@weather,@type,@north,@ch,@floor,@wwr_KL_B,@ach,@tmin,@tmax,@fabric,@glazing,BD1_HA26c_occ,BD1_TM52_C1,BD1_HA26p_occ,@job_s,@wwr_KL,@wwr_B
EP_CP_P1201_000000031,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_70,8,22,24,v1,v1,501.5,0.025,0.057,00031,80,70
EP_CP_P1201_000000032,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_60,1,22,24,v1,v1,2072.25,0.326,0.237,00032,80,60
EP_CP_P1201_000000033,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_60,2,22,24,v1,v1,1216.0,0.13,0.139,00033,80,60
EP_CP_P1201_000000034,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_60,4,22,24,v1,v1,683.5,0.037,0.078,00034,80,60
EP_CP_P1201_000000035,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_60,8,22,24,v1,v1,444.5,0.016,0.051,00035,80,60
EP_CP_P1201_000000036,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_50,1,22,24,v1,v1,1955.0,0.271,0.223,00036,80,50
EP_CP_P1201_000000037,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_50,2,22,24,v1,v1,1085.25,0.096,0.124,00037,80,50
EP_CP_P1201_000000038,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_50,4,22,24,v1,v1,595.25,0.024,0.068,00038,80,50
EP_CP_P1201_000000039,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_50,8,22,24,v1,v1,385.25,0.009,0.044,00039,80,50
EP_CP_P1201_000000040,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_40,1,22,24,v1,v1,1783.25,0.201,0.204,00040,80,40
EP_CP_P1201_000000041,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_40,2,22,24,v1,v1,936.75,0.054,0.107,00041,80,40
EP_CP_P1201_000000042,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_40,4,22,24,v1,v1,497.25,0.012,0.057,00042,80,40
EP_CP_P1201_000000043,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,80_40,8,22,24,v1,v1,315.75,0.004,0.036,00043,80,40
EP_CP_P1201_000000044,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_70,1,22,24,v1,v1,2180.5,0.367,0.249,00044,70,70
EP_CP_P1201_000000045,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_70,2,22,24,v1,v1,1328.5,0.164,0.152,00045,70,70
EP_CP_P1201_000000046,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_70,4,22,24,v1,v1,770.5,0.061,0.088,00046,70,70
EP_CP_P1201_000000047,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_70,8,22,24,v1,v1,500.5,0.024,0.057,00047,70,70
EP_CP_P1201_000000048,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_60,1,22,24,v1,v1,2060.75,0.321,0.235,00048,70,60
EP_CP_P1201_000000049,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_60,2,22,24,v1,v1,1206.5,0.128,0.138,00049,70,60
EP_CP_P1201_000000050,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,70_60,4,22,24,v1,v1,679.75,0.036,0.078,00050,70,60
