job_id,@job_s,@model,@weather,@north,@floor,@ach,@wwr_KL,@wwr_B,BD1_HA26p_occ
EP_CP_P1201_000000049,00049,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,70,60,0.138
EP_CP_P1201_000000050,00050,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,70,60,0.078
EP_CP_P1201_000000051,00051,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,70,60,0.051
EP_CP_P1201_000000052,00052,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,70,50,0.222
EP_CP_P1201_000000053,00053,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,70,50,0.123
EP_CP_P1201_000000054,00054,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,70,50,0.067
EP_CP_P1201_000000055,00055,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,70,50,0.044
EP_CP_P1201_000000056,00056,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,70,40,0.202
EP_CP_P1201_000000057,00057,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,70,40,0.106
EP_CP_P1201_000000058,00058,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,70,40,0.056
EP_CP_P1201_000000059,00059,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,70,40,0.036
EP_CP_P1201_000000060,00060,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,60,60,0.234
EP_CP_P1201_000000061,00061,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,60,60,0.137
EP_CP_P1201_000000062,00062,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,60,60,0.077
EP_CP_P1201_000000063,00063,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,60,60,0.05
EP_CP_P1201_000000064,00064,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,60,50,0.22
EP_CP_P1201_000000065,00065,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,60,50,0.122
EP_CP_P1201_000000066,00066,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,60,50,0.067
EP_CP_P1201_000000067,00067,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,60,50,0.044
EP_CP_P1201_000000068,00068,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,60,40,0.2
EP_CP_P1201_000000069,00069,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,60,40,0.104
EP_CP_P1201_000000070,00070,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,60,40,0.056
EP_CP_P1201_000000071,00071,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,60,40,0.036
EP_CP_P1201_000000072,00072,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,50,50,0.218
EP_CP_P1201_000000073,00073,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,50,50,0.121
EP_CP_P1201_000000074,00074,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,50,50,0.066
EP_CP_P1201_000000075,00075,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,50,50,0.043
EP_CP_P1201_000000076,00076,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,50,40,0.199
EP_CP_P1201_000000077,00077,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,50,40,0.104
